time,location,co2,humidity,temperature,area,people_est
2025-04-24 08:05:00+00:00,8인 책상,512.0,51.5,23.4,64.65,1.0
2025-04-24 08:05:00+00:00,보드,701.0,49.0,25.0,31.59,1.3
2025-04-24 08:05:00+00:00,입구,840.0,87.25,12.2,109.21,6.4
2025-04-24 08:10:00+00:00,8인 책상,507.75,51.5,23.300000000000004,64.65,0.9
2025-04-24 08:10:00+00:00,보드,699.0,49.2,24.96,31.59,1.3
2025-04-24 08:10:00+00:00,입구,846.375,73.41071428571429,16.424999999999994,109.21,6.5
2025-04-24 08:15:00+00:00,8인 책상,511.6,51.5,23.28,64.65,1.0
2025-04-24 08:15:00+00:00,보드,709.5,49.25,24.950000000000003,31.59,1.3
2025-04-24 08:15:00+00:00,안쪽벽 중앙,692.1003873372512,50.5,23.5,25.13,1.0
2025-04-24 08:15:00+00:00,입구,859.8,77.53125,15.25,109.21,6.7
2025-04-24 08:20:00+00:00,8인 책상,524.5,51.5,23.3,64.65,1.1
2025-04-24 08:20:00+00:00,보드,727.0,49.5,24.9,31.59,1.4
2025-04-24 08:20:00+00:00,입구,868.0,92.0,10.755555555555556,109.21,6.8
2025-04-24 08:25:00+00:00,8인 책상,522.0,52.0,23.3,64.65,1.1
2025-04-24 08:25:00+00:00,보드,693.0,49.5,24.9,31.59,1.2
2025-04-24 08:25:00+00:00,입구,865.0,87.625,12.2,109.21,6.8
2025-04-24 08:30:00+00:00,8인 책상,518.6,52.3,23.46,64.65,1.0
2025-04-24 08:30:00+00:00,보드,715.0,49.5,24.96666666666667,31.59,1.3
2025-04-24 08:30:00+00:00,안쪽벽 중앙,695.0734011350486,51.0,23.5,25.13,1.0
2025-04-24 08:30:00+00:00,입구,859.8571428571429,75.55,15.849999999999998,109.21,6.7
2025-04-24 08:35:00+00:00,8인 책상,509.0,52.3,23.580000000000002,64.65,0.9
2025-04-24 08:35:00+00:00,보드,718.75,49.5,24.85,31.59,1.3
2025-04-24 08:35:00+00:00,입구,841.0,74.5,16.166666666666668,109.21,6.4
2025-04-24 08:40:00+00:00,8인 책상,493.4,52.0,23.68,64.65,0.8
2025-04-24 08:40:00+00:00,보드,729.6666666666666,49.5,24.833333333333332,31.59,1.4
2025-04-24 08:40:00+00:00,안쪽벽 중앙,691.489543465582,51.0,23.4,25.13,1.0
2025-04-24 08:40:00+00:00,입구,834.2,75.94117647058823,15.764705882352942,109.21,6.3
2025-04-24 08:45:00+00:00,8인 책상,506.6,52.0,23.72,64.65,0.9
2025-04-24 08:45:00+00:00,보드,701.75,49.5,24.875,31.59,1.3
2025-04-24 08:45:00+00:00,입구,840.0,76.97368421052632,15.336842105263159,109.21,6.4
2025-04-24 08:50:00+00:00,8인 책상,493.25,51.875,23.8,64.65,0.8
2025-04-24 08:50:00+00:00,보드,698.0,49.5,24.866666666666664,31.59,1.3
2025-04-24 08:50:00+00:00,안쪽벽 중앙,691.489543465582,51.0,23.4,25.13,1.0
2025-04-24 08:50:00+00:00,입구,837.2,79.875,14.495,109.21,6.4
2025-04-24 08:55:00+00:00,8인 책상,515.0,51.5,23.860000000000003,64.65,1.0
2025-04-24 08:55:00+00:00,보드,708.6,49.5,24.839999999999996,31.59,1.3
2025-04-24 08:55:00+00:00,입구,850.8,83.30555555555556,13.550000000000004,109.21,6.6
2025-04-24 09:00:00+00:00,8인 책상,526.0,51.5,23.9,64.65,1.1
2025-04-24 09:00:00+00:00,보드,722.0,49.5,24.85,31.59,1.4
2025-04-24 09:00:00+00:00,안쪽벽 중앙,687.9056857961153,51.0,23.3,25.13,1.0
2025-04-24 09:00:00+00:00,입구,889.6,72.84375,16.71875,109.21,7.1
2025-04-24 09:05:00+00:00,8인 책상,523.6666666666666,51.333333333333336,24.0,64.65,1.1
2025-04-24 09:05:00+00:00,보드,741.6666666666666,49.5,24.833333333333332,31.59,1.4
2025-04-24 09:05:00+00:00,입구,895.6,77.42105263157895,15.331578947368422,109.21,7.2
2025-04-24 09:10:00+00:00,8인 책상,533.8,51.1,24.0,64.65,1.2
2025-04-24 09:10:00+00:00,보드,769.0,49.75,24.8,31.59,1.6
2025-04-24 09:10:00+00:00,안쪽벽 중앙,694.4625572633794,51.5,23.4,25.13,1.0
2025-04-24 09:10:00+00:00,입구,845.6,77.0,15.426315789473682,109.21,6.5
2025-04-24 09:15:00+00:00,8인 책상,531.25,51.0,24.049999999999997,64.65,1.1
2025-04-24 09:15:00+00:00,보드,752.3333333333334,50.0,24.866666666666664,31.59,1.5
2025-04-24 09:15:00+00:00,입구,849.4,70.89285714285714,17.35,109.21,6.5
2025-04-24 09:20:00+00:00,8인 책상,532.8333333333334,51.0,24.083333333333332,64.65,1.1
2025-04-24 09:20:00+00:00,보드,761.0,49.833333333333336,24.766666666666666,31.59,1.5
2025-04-24 09:20:00+00:00,안쪽벽 중앙,687.9056857961153,51.0,23.3,25.13,1.0
2025-04-24 09:20:00+00:00,입구,814.7142857142857,77.04545454545455,15.459090909090905,109.21,6.0
2025-04-24 09:25:00+00:00,8인 책상,532.6,51.0,24.1,64.65,1.1
2025-04-24 09:25:00+00:00,보드,740.6666666666666,49.5,24.799999999999997,31.59,1.4
2025-04-24 09:25:00+00:00,입구,806.6666666666666,71.4,17.094999999999995,109.21,5.9
2025-04-24 09:30:00+00:00,8인 책상,530.6,51.0,24.1,64.65,1.1
