co2,humidity,temperature,co2_per_area,cluster,co2_status,cluster_label
481.4,25.6,23.660000000000004,7.4462490332559925,2,CO2 양호,최적 쾌적
562.0,41.5,23.6,17.790440012662234,2,CO2 양호,최적 쾌적
556.0,35.0,23.166666666666668,5.091108872813845,2,CO2 양호,최적 쾌적
491.8,26.6,23.78,7.607115235885537,2,CO2 양호,최적 쾌적
550.3333333333334,41.5,23.53333333333333,17.421124828532236,2,CO2 양호,최적 쾌적
515.0,32.375,23.075000000000003,4.715685376796997,2,CO2 양호,최적 쾌적
503.4,25.7,23.92,7.786542923433874,2,CO2 양호,최적 쾌적
561.3333333333334,41.0,23.7,17.76933628785481,2,CO2 양호,최적 쾌적
522.0,33.0,23.05,4.779782071238897,2,CO2 양호,최적 쾌적
533.0,31.5,23.05,4.8805054482190275,2,CO2 양호,최적 쾌적
527.0,26.4,24.02,8.151585460170146,2,CO2 양호,최적 쾌적
627.0,41.25,23.85,19.848053181386515,2,CO2 양호,최적 쾌적
537.4,26.0,24.08,8.31245166279969,2,CO2 양호,최적 쾌적
656.6666666666666,41.5,23.899999999999995,20.787168935317084,2,CO2 양호,최적 쾌적
522.6666666666666,29.666666666666668,22.96666666666667,4.785886518328602,2,CO2 양호,최적 쾌적
558.0,26.2,24.140000000000004,8.631090487238978,2,CO2 양호,최적 쾌적
651.0,41.5,23.95,20.60778727445394,2,CO2 양호,최적 쾌적
563.6666666666666,31.5,22.899999999999995,5.1613100143454504,2,CO2 양호,최적 쾌적
639.0,31.875,22.95,5.851112535482099,2,CO2 양호,최적 쾌적
541.6,24.4,24.26,8.377416860015467,2,CO2 양호,최적 쾌적
660.0,41.5,24.049999999999997,20.892687559354226,2,CO2 양호,최적 쾌적
668.0,32.0,23.05,6.11665598388426,2,CO2 양호,최적 쾌적
541.0,24.6,24.360000000000003,8.36813611755607,2,CO2 양호,최적 쾌적
681.0,41.5,24.2,21.557454890788225,2,CO2 양호,최적 쾌적
597.0,25.5,24.4,9.234338747099768,2,CO2 양호,최적 쾌적
679.0,41.5,24.25,21.49414371636594,2,CO2 양호,최적 쾌적
625.4,31.5,22.98,5.7265818148521195,2,CO2 양호,최적 쾌적
613.2,25.5,24.48,9.48491879350348,2,CO2 양호,최적 쾌적
670.5,41.25,24.3,21.225071225071225,2,CO2 양호,최적 쾌적
622.3333333333334,30.0,23.0,5.698501358239478,2,CO2 양호,최적 쾌적
601.3333333333334,27.833333333333332,22.899999999999995,5.506211274913776,2,CO2 양호,최적 쾌적
617.2,24.8,24.5,9.546790409899458,2,CO2 양호,최적 쾌적
700.6666666666666,41.333333333333336,24.3,22.180014772607365,2,CO2 양호,최적 쾌적
564.0,26.75,22.85,5.164362237890304,2,CO2 양호,최적 쾌적
729.5,41.0,24.45,23.092750870528647,2,CO2 양호,최적 쾌적
607.8,24.4,24.44,9.401392111368908,2,CO2 양호,최적 쾌적
601.0,24.0,24.4,9.296210363495746,2,CO2 양호,최적 쾌적
741.0,41.0,24.5,23.45679012345679,2,CO2 양호,최적 쾌적
561.0,26.1,22.74,5.136892225986632,2,CO2 양호,최적 쾌적
562.3333333333334,25.333333333333332,22.633333333333336,5.1491011201660415,2,CO2 양호,최적 쾌적
602.5,23.75,24.4,9.319412219644237,2,CO2 양호,최적 쾌적
744.3333333333334,41.0,24.566666666666663,23.562308747493933,2,CO2 양호,최적 쾌적
561.0,25.125,22.525,5.136892225986632,2,CO2 양호,최적 쾌적
586.3333333333334,23.0,24.316666666666663,9.069347770043825,2,CO2 양호,최적 쾌적
721.5,40.0,24.65,22.839506172839506,2,CO2 양호,최적 쾌적
561.5,26.75,22.45,5.14147056130391,2,CO2 양호,최적 쾌적
722.6666666666666,40.0,24.7,22.876437691252505,2,CO2 양호,최적 쾌적
568.4,23.0,24.44,8.791956689868522,2,CO2 양호,최적 쾌적
578.8,23.5,24.52,8.952822892498064,2,CO2 양호,최적 쾌적
727.0,40.0,24.7,23.01361190250079,2,CO2 양호,최적 쾌적
578.6666666666666,27.666666666666668,22.433333333333337,5.29866007386381,2,CO2 양호,최적 쾌적
598.8,23.5,24.6,9.262180974477957,2,CO2 양호,최적 쾌적
702.0,39.333333333333336,24.8,22.22222222222222,2,CO2 양호,최적 쾌적
587.6666666666666,28.333333333333332,22.53333333333333,5.381070109574825,2,CO2 양호,최적 쾌적
582.8,23.0,24.6,9.014694508894044,2,CO2 양호,최적 쾌적
684.5,39.0,24.9,21.668249446027225,2,CO2 양호,최적 쾌적
554.6666666666666,26.833333333333332,22.433333333333337,5.0788999786344355,2,CO2 양호,최적 쾌적
585.2,27.8,22.56,5.358483655342918,2,CO2 양호,최적 쾌적
686.6666666666666,38.833333333333336,24.899999999999995,21.736836551651365,2,CO2 양호,최적 쾌적
546.8,23.0,24.6,8.457849961330238,2,CO2 양호,최적 쾌적
530.8,23.0,24.68,8.210363495746325,2,CO2 양호,최적 쾌적
680.0,38.25,24.95,21.52579930357708,2,CO2 양호,최적 쾌적
633.3333333333334,28.166666666666668,22.53333333333333,5.7992247352196085,2,CO2 양호,최적 쾌적
509.4,23.0,24.7,7.879350348027841,2,CO2 양호,최적 쾌적
667.0,38.0,25.100000000000005,21.114276669832226,2,CO2 양호,최적 쾌적
670.8,29.2,22.68,6.14229466166102,2,CO2 양호,최적 쾌적
513.8,23.0,24.7,7.947409126063417,2,CO2 양호,최적 쾌적
671.5,37.5,25.05,21.256726812282366,2,CO2 양호,최적 쾌적
684.3333333333334,29.5,22.766666666666666,6.2662149375820295,2,CO2 양호,최적 쾌적
670.4,29.4,22.8,6.138631993407198,2,CO2 양호,최적 쾌적
678.75,37.75,25.125,21.486229819563153,2,CO2 양호,최적 쾌적
590.0,23.0,24.7,9.126063418406805,2,CO2 양호,최적 쾌적
601.0,23.0,24.725,9.296210363495746,2,CO2 양호,최적 쾌적
718.0,37.75,25.05,22.728711617600506,2,CO2 양호,최적 쾌적
636.0,28.0,22.85,5.823642523578427,2,CO2 양호,최적 쾌적
551.0,23.0,24.78,8.522815158546017,2,CO2 양호,최적 쾌적
706.0,37.833333333333336,25.133333333333336,22.348844571066792,2,CO2 양호,최적 쾌적
663.5,28.75,22.875,6.075450966028752,2,CO2 양호,최적 쾌적
664.5,37.5,25.1,21.03513770180437,2,CO2 양호,최적 쾌적
510.6,23.0,24.72,7.897911832946636,2,CO2 양호,최적 쾌적
695.6666666666666,28.666666666666668,22.933333333333337,6.369990538107011,2,CO2 양호,최적 쾌적
720.5,29.0,22.95,6.597381192198517,2,CO2 양호,최적 쾌적
491.2,23.0,24.7,7.59783449342614,2,CO2 양호,최적 쾌적
668.5,37.5,25.0,21.16176005064894,2,CO2 양호,최적 쾌적
748.0,29.5,23.100000000000005,6.849189634648842,2,CO2 양호,최적 쾌적
